"LA code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"621","Southend-on-Sea","547","222","324","311.15257283928145","257.79780291241843","361.26845368181614",2015
"609","Suffolk","5399","1977","3422","733.66145851734882","543.7503094178544","919.12159694020079",2015
"622","Thurrock","1519","516","1003","944.36396869113264","650.43109968234762","1230.4181949777349",2015
"H","London","42511","14249","28250","505.08908951248941","342.08533047161876","664.51825366955211",2015
"714","of London","9","*","*","117.67782426778243","*","*",2015
"716","Londonof Barking and Dagenham","1197","398","799","615.89281304025678","419.21213397935537","803.7259083410454",2015
"717","Londonof Barnet","1442","533","909","390.69273452401598","295.32521789238638","481.94942977270443",2015
"718","Londonof Bexley","981","391","590","414.47143273606071","343.29563812600969","480.49124121474705",2015
"719","Londonof Brent","3467","1027","2438","1092.7807756316506","640.96563001241987","1552.5003661557469",2015
"720","Londonof Bromley","776","331","445","244.10268670238031","216.83731960248676","269.28895612708021",2015
"702","Londonof Camden","964","337","627","419.64312921438801","296.18822454055669","540.79696394686914",2015
"721","Londonof Croydon","1959","623","1335","525.55050006438591","344.62348639484003","695.40304727178011",2015
"722","Londonof Ealing","2297","823","1474","670.66868324700579","479.64006597236386","862.45735985067904",2015
"723","Londonof Enfield","2059","857","1202","642.38559359049555","550.25490221257689","729.46631225042177",2015
"703","Londonof Greenwich","1144","360","784","433.32020241810852","273.18672312525609","592.90629962943353",2015
"704","Londonof Hackney","1552","490","1061","603.00179890356242","384.20524400953457","817.14070069237471",2015
"705","Londonof Hammersmith and Fulham","560","247","313","313.40067716932032","282.90001145344172","342.54445964432284",2015
"724","Londonof Haringey","1656","498","1158","628.7350124911726","377.64465003412454","880.501231789288",2015
"725","Londonof Harrow","2563","770","1793","1053.1203260851701","637.91889316929701","1461.6808106499711",2015
"726","Londonof Havering","1307","470","837","539.90416391275608","404.36368642026292","665.08804271819974",2015
"727","Londonof Hillingdon","2266","658","1608","790.08110011645499","460.60046060046062","1117.0622928954003",2015
"728","Londonof Hounslow","762","294","468","290.38859481644926","221.9873150105708","360.09140781890784",2015
"706","Londonof Islington","1548","470","1078","717.77323373534193","438.88318236996918","992.8437882792856",2015
"708","Londonof Lambeth","1216","377","839","386.96291393257428","239.85239852398524","534.18395283391271",2015
"709","Londonof Lewisham","829","266","558","289.67782514501363","189.13403630520259","383.40238698905449",2015
"730","Londonof Merton","702","256","446","345.43334169852824","256.32553342745285","431.54329946782775",2015
"731","Londonof Newham","1598","513","1084","502.15726509692769","309.9679156017184","709.7678194937339",2015
"732","Londonof Redbridge","1510","547","962","523.81084531276019","384.05369730670935","659.6088971778064",2015
"733","Londonof Richmond upon Thames","328","139","189","171.40020379902279","149.40292571772522","192.21381498657553",2015
"710","Londonof Southwark","1350","429","921","452.31585718880666","290.86126121239653","610.05093693490801",2015
"734","Londonof Sutton","934","265","669","476.73979399124107","278.03716255206643","664.99010963887758",2015
"711","Londonof Tower Hamlets","893","272","621","327.23808127817068","193.43460203675258","469.4800187489605",2015
"735","Londonof Waltham Forest","2251","793","1457","846.88690993502553","597.62457420191117","1094.6245445325119",2015
"712","Londonof Wandsworth","801","290","511","257.95772198534053","194.16565678207249","317.07816504197717",2015
"707","Royalof Kensington and Chelsea","394","123","271","253.22313199737778","160.12497559070493","344.00030464971627",2015
"729","Royalof Kingston-upon-Thames","357","148","209","214.0377593783912","181.20821803756397","245.53859890271266",2015
"713","Westminster","839","249","590","369.86259097782147","213.56891671669956","535.14253838967454",2015
"J","South East","51102","18228","32865","581.19155756198438","421.58434115304289","735.40994992991625",2015
"614","Bracknell Forest","812","334","478","696.59509123508371","576.75703678121226","814.90700172187474",2015
"816","Brighton And Hove","1501","525","976","539.71062018179725","377.15246298517968","702.60814478335044",2015
"612","Buckinghamshire","2511","1170","1338","486.53738839285711","462.1528422399798","508.87488447627345",2015
"815","East Sussex","2921","1142","1778","546.59226574750846","442.82617715373669","643.00774285476632",2015
"812","Hampshire","6775","2319","4456","506.4549647537246","354.12527697055674","652.53332591374431",2015
"803","Isle of Wight","824","332","492","595.40583700042635","491.26233704739496","694.79749195051693",2015
"820","Kent","7824","3076","4745","523.86589461617984","420.57940418829264","622.58902563833419",2015
"821","Medway","3363","1097","2266","1240.4787812840043","815.82567954486296","1658.3723653395784",2015
"613","Milton Keynes","1641","489","1152","641.78777591790117","386.54598632465121","891.73059208743905",2015
"608","Oxfordshire","2718","747","1970","408.05786674913901","225.99382828099473","587.10981039631406",2015
"813","Portsmouth","1009","360","649","486.35881615733149","343.05971144866493","633.03486081036272",2015
"616","Reading","1162","383","779","729.68407568117448","478.22992495660975","984.08287013643258",2015
"618","Royalof Windsor & Maidenhead","1320","526","794","902.03984009293742","727.35318113306687","1072.7120430165635",2015
"617","Slough","1806","578","1228","1262.7251370399374","806.67671523474564","1720.5626856470324",2015
"814","Southampton","3201","1068","2133","1321.9570415584308","869.65018565565765","1787.435160433409",2015
"805","Surrey","3142","920","2222","272.71606802799027","162.78892822954654","378.5574949102587",2015
"615","West Berkshire","908","305","603","584.32866556836905","395.67738671302357","770.02643374324782",2015
"807","West Sussex","6794","2542","4251","827.16873073308045","638.42237843729674","1004.5204602220768",2015
"619","Wokingham","870","315","555","551.1003002546463","403.80473797559222","694.98359588269182",2015
"K","South West","48098","16484","31614","894.41469653255785","624.3045503333235","1154.9687145739633",2015
"908","Bath and North East Somerset","1200","408","792","666.30760090395734","461.27755794234031","864.18540705096734",2015
"811","Poole","1377","411","966","924.10525538725847","562.28965441759931","1272.4757952973721",2015
"810","Bournemouth","1608","562","1046","851.99726597892254","593.02092456393962","1113.1922864075602",2015
"909","Bristol","4495","1545","2950","1027.4473590374225","707.07764124390746","1347.1119290186175",2015
"902","Cornwall","9613","3060","6553","1775.8475132038595","1164.5519519565235","2352.4808208014879",2015
"912","Devon","4991","1855","3136","658.39810461551451","503.06039707872418","805.52979766714884",2015
"809","Dorset","3154","1108","2046","756.86130528579076","544.58414021567103","959.37879519654143",2015
"904","Gloucestershire","1477","675","802","243.86861145142277","227.23447231105874","259.87997563220176",2015
"910","North Somerset","1695","628","1067","822.27666335168703","626.57766869206898","1007.4781886165351",2015
"913","Plymouth","5005","1733","3272","1931.1276164753547","1348.32334863456","2504.4969191319988",2015
"905","Somerset","4234","1207","3027","786.83674531317365","459.70269765882978","1098.5581197852966",2015
"911","South Gloucestershire","2209","861","1348","820.86307676872013","645.42728635682158","993.31648330594589",2015
"819","Swindon","1195","425","770","558.31468390979137","397.92517134189728","718.06253671910702",2015
"906","Isles of Scilly","27","10","17","1199.4669035984007","881.83421516754845","1521.933751119069",2015
"914","Torbay","1872","657","1215","1417.3764906303238","1030.0711799567275","1779.0988827551871",2015
"817","Wiltshire","3946","1339","2607","822.7106502041139","564.71917978651175","1074.9407277600246",2015
"U","Unknown","139","71","68",".",".",".",2016
"A","North East","19414","6574","12840","741.35738588847187","512.30657971845744","961.44198326611729",2016
