,region,admissions_total,admissions_count_men,admissions_count_women,adm_per_100_000_all,adm_per_male,adm_per_female,year
49,Yorkshire And The Humber,47064,13926,33132,878.0552784528884,527.2196150229196,1218.7052048040498,2016
50,Barnsley,881,375,506,370.41241491235814,319.7285291635049,419.7219549421016,2016
51,Calderdale,1411,423,988,680.4066044286707,416.24435413243066,934.2524561950961,2016
52,City Of Bradford,10070,3081,6989,1906.6372561085288,1183.8389272060094,2608.8092571855173,2016
53,Doncaster,1244,506,736,408.9616516264773,336.0295387230878,479.1573081254923,2016
54,East Riding Of Yorkshire,1716,495,1221,509.0251101256248,299.6984851603841,710.0942721388319,2016
55,Kingston-Upon-Hull,1277,286,991,495.5182181521866,221.15682029075165,771.8669678323857,2016
56,Kirklees,3574,915,2659,829.1958609809291,429.24897848125613,1220.5253905084528,2016
57,Leeds,6453,1736,4715,841.9896163747603,461.697215987064,1207.7511238617299,2016
58,North East Lincolnshire,2058,506,1552,1287.8275887962754,645.5234353073253,1906.212385467587,2016
59,North Lincolnshire,1033,226,806,610.3505527424416,270.376972495723,940.9292551949567,2016
60,North Yorkshire,4749,1763,2985,789.4789339291414,595.5397015207712,977.0803464461771,2016
61,Rotherham,2109,641,1468,810.9355173607106,501.65522746660196,1109.6581073828547,2016
62,Sheffield,3809,903,2906,675.6553004972071,323.02491548766744,1022.5049612250355,2016
63,Wakefield,5006,1536,3470,1510.6569818847904,943.639647609569,2058.0647074523295,2016
64,York,1674,534,1140,818.8261535225666,534.5291838920532,1090.5125408942204,2016
66,East Midlands,34839,11451,23381,751.2593767257737,500.46720761937394,995.2110178513129,2016
67,Derby,2658,325,2333,1052.8275430459116,259.92722037829407,1830.8378064475626,2016
68,Derbyshire,6902,1959,4941,885.0942031587424,511.34539436763094,1245.5350053063169,2016
69,Leicester,1188,443,745,351.8404989737985,264.74314536370804,437.4093623217337,2016
70,Leicestershire,2603,993,1610,389.72608379934275,300.44749430420535,477.1812518153635,2016
71,Lincolnshire,5911,2257,3652,808.0479442691616,631.7987649551835,975.7348737048536,2016
72,Northamptonshire,4099,1623,2475,573.7746223361963,460.79416724869253,683.3731852645413,2016
73,Nottingham,3782,1109,2673,1203.4314661371823,698.8335969450449,1718.1423750602603,2016
74,Nottinghamshire,7592,2688,4902,947.3539724728284,681.5726884087002,1204.3989307335482,2016
75,Rutland,104,54,50,273.5258534532639,276.15833077631174,270.7385748321421,2016
77,West Midlands,54212,16465,37744,948.8763380220552,582.9794089477514,1306.4732801915127,2016
78,Birmingham,9265,1994,7271,841.2326578048957,366.82732992383825,1303.5605435834918,2016
79,Coventry,5281,1572,3708,1565.0746233270504,928.5676312665024,2205.3706842715674,2016
80,Dudley,4739,1026,3713,1500.6380640850668,661.4831147731229,2310.617139514478,2016
81,Herefordshire,845,420,425,451.4853601196837,453.9608080502383,449.0654156232499,2016
82,Sandwell,2596,713,1883,819.6540150732984,456.0252252943697,1174.1743988825701,2016
83,Shropshire,2047,592,1455,660.064942393453,385.00809687636166,930.5567991404341,2016
84,Solihull,896,230,666,426.8902758587832,225.6317689530686,616.9294329066084,2016
85,Staffordshire,5299,1785,3513,616.0445960949353,418.01125000585444,811.0485451686857,2016
86,Stoke-On-Trent,1956,554,1402,779.199050301362,442.9342394563262,1113.1224593495936,2016
87,Telford And Wrekin,1511,363,1148,891.7610953729935,432.3075457317073,1343.129913889929,2016
88,Walsall,1707,579,1128,622.5995995229289,430.08037080504505,808.3298100281626,2016
89,Warwickshire,6071,2197,3874,1100.6283607145836,806.4338518687094,1387.7346324688351,2016
90,Wolverhampton,2583,871,1711,1021.0010791068315,696.2263095209547,1337.9312501954896,2016
91,Worcestershire,9416,3569,5847,1636.367112079677,1258.866561555365,2003.0009043821426,2016
93,East Of England,49262,18279,30976,818.525507598968,617.0057852520124,1013.6623198128179,2016
94,Bedford,804,371,433,490.47119396793636,459.7957564941503,520.2076024796963,2016
95,Cambridgeshire,4393,1928,2465,686.6015023022172,603.3484587701455,769.6679031311277,2016
96,Central Bedfordshire,2434,876,1556,904.5771454904934,657.4355510525722,1145.5411504001297,2016
97,Essex,8965,3418,5545,626.0680343558762,488.6116880833356,757.0792714562682,2016
98,Hertfordshire,11722,4330,7392,1015.0974309946777,765.9541347371699,1254.0333662449234,2016
99,Luton,3734,963,2771,1769.9870118789165,904.8455749011058,2650.7868178122158,2016
100,Norfolk,6232,2236,3994,710.0295086076267,519.0078501097901,893.7362381625823,2016
101,Peterborough,861,395,466,452.0610518688866,415.9996629876148,487.9121339350218,2016
102,Southend-On-Sea,578,240,338,324.8450241947721,275.17886626307103,372.5954913740837,2016
103,Suffolk,7365,2775,4590,997.2756028338064,761.5926755368199,1226.8003763256927,2016
104,Thurrock,2174,747,1426,1331.5367183193482,928.8272157564905,1721.2659633536923,2016
106,London,44893,15370,29513,525.7598678204581,363.0120696199049,685.604239117052,2016
107,Corporation Of The Of London,26,9,17,322.10109018830525,199.95556542990448,476.05712685522263,2016
108,Barking And Dagenham,1226,434,792,618.2738761636762,447.7966136670828,781.2577065351418,2016
109,Barnet,1626,640,985,433.69830494912185,347.7183698528173,516.0904965995662,2016
110,Bexley,1327,568,759,553.2278573364184,491.46426933626367,610.658771280533,2016
