"ONS code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"E08000007","Stockport","1528","543","985","536.08015942069653","389.55728213847578","676.31125423123672",2015
"E08000008","Tameside","1812","540","1272","821.40736274745348","497.86104145154155","1134.3672246350316",2015
"E08000009","Trafford","857","303","554","372.31893439453643","269.03201747376272","471.27678579023927",2015
"E06000007","Warrington","976","456","520","475.84455094608234","448.28060793142095","502.96458935842998",2015
"E08000010","Wigan","1754","497","1257","548.65651099502645","313.23858443891214","780.6241266884025",2015
"E08000015","Wirral","8895","3636","5259","2777.127335737367","2357.2581638540782","3167.156484871844",2015
"E12000003","Yorkshire and the Humber","36507","11130","25375","683.94498764451419","423.19777823067591","937.13045668444533",2015
"E08000016","Barnsley","808","339","469","342.72577272360945","291.71076748328471","392.31760159269237",2015
"E08000033","Calderdale","1424","392","1032","690.07293256766252","387.8231447312445","980.26178308858459",2015
"E08000032","Bradford","9809","3254","6555","1863.5215979664458","1255.0042039169707","2454.2564782261961",2015
"E08000017","Doncaster","955","371","584","314.5358373240411","247.1471491476421","380.43372049847244",2015
"E06000011","East Riding of Yorkshire","1429","466","963","425.28875886514265","282.97475695140241","562.07975345536045",2015
"E06000010","Kingston-upon-Hull","1119","268","851","434.41296018075303","207.49618687044648","662.61776843416646",2015
"E08000034","Kirklees","2303","716","1587","537.73358021289857","338.41427389814487","732.33535144713528",2015
"E08000035","Leeds","5094","1160","3934","668.95956694914253","310.52824602403382","1014.1161670842741",2015
"E06000012","North East Lincolnshire","1965","490","1473","1229.4543475132486","625.12757705654224","1808.6268924278329",2015
"E06000013","North Lincolnshire","1112","253","859","658.92391561981515","303.79078061022324","1004.9251863030686",2015
"E10000023","North Yorkshire","2703","1056","1647","448.44537278369603","355.16332131518055","539.25565039732044",2015
"E08000018","Rotherham","1700","516","1184","657.15975553657097","405.89331927914606","899.95591432176468",2015
"E08000019","Sheffield","3041","727","2314","542.95330173098728","261.95743822200444","818.94400815404924",2015
"E08000036","Wakefield","1988","806","1182","602.95776869229746","497.77667984189725","704.46039049276465",2015
"E06000014","York","1057","316","741","522.14806874373244","319.97731806352965","714.72664840464529",2015
"E12000004","East Midlands","25932","7899","18032","563.89493705760867","348.26629607617326","773.69405874874553",2015
"E06000015","Derby","2375","202","2173","944.62320471874091","162.26724290281638","1711.8728187998772",2015
"E10000007","Derbyshire","4879","1209","3670","628.60750360750353","316.89033340322919","929.96148388404617",2015
"E06000016","Leicester","953","360","593","285.49003630786194","217.87810930218484","351.75760164193093",2015
"E10000018","Leicestershire","2062","845","1217","311.68045950950381","258.21000876997306","364.02031574350474",2015
"E10000019","Lincolnshire","5750","1850","3899","793.70228296383618","523.53502166303019","1050.6998377734542",2015
"E10000021","Northamptonshire","3514","1295","2219","497.27799028369179","371.71413317412299","619.38084245843118",2015
"E06000018","Nottingham","1954","589","1365","628.62529235580064","375.79593451325178","885.77120497329713",2015
"E10000024","Nottinghamshire","4324","1498","2826","543.06871502205433","382.24914580840084","698.94268224819143",2015
"E06000017","Rutland","121","51","70","321.75716640961548","265.27958387516253","380.82802894293019",2015
"E12000005","West Midlands","45682","14083","31598","805.01001636735043","502.32400201314823","1100.5373121436305",2015
"E08000025","Birmingham","7661","1691","5970","701.34483169005705","313.80306677083468","1078.67458537881",2015
"E08000026","Coventry","4909","1471","3438","1488.4327339983627","891.30988014881427","2086.5195542932051",2015
"E08000027","Dudley","3803","1019","2784","1209.5017285411238","659.49570259915083","1740.9248663352407",2015
"E06000019","Herefordshire","563","288","275","302.54665828349107","313.69815266643428","291.68743834788239",2015
"E08000028","Sandwell","2458","734","1724","781.98320867625955","473.74093986588099","1081.6101184501103",2015
"E06000051","Shropshire","1713","469","1244","555.14685627432607","306.54396193364533","799.63489339272746",2015
"E08000029","Solihull","715","206","509","342.33293913176709","203.21794631494834","473.52361105942771",2015
"E10000028","Staffordshire","4803","1557","3246","560.43882955448441","366.08677455685159","751.91453284472016",2015
"E06000021","Stoke-on-Trent","858","248","610","342.88865709935379","199.15199794423745","485.28627912712113",2015
"E06000020","Telford and Wrekin","1309","253","1056","777.07596229192882","302.9069489009147","1243.4061793519218",2015
"E08000030","Walsall","1419","508","911","521.38256399704585","379.6569634916483","658.44632686692296",2015
"E10000031","Warwickshire","5354","1921","3433","975.70932099451636","709.24866162082333","1235.4298093774628",2015
"E08000031","Wolverhampton","1287","492","795","511.6136700628486","395.65741857659833","624.96560723859534",2015
"E10000034","Worcestershire","8830","3226","5603","1543.2530305784314","1145.3118898001205","1928.756824487604",2015
"E12000006","East of England","40989","15096","25888","688.4084076216177","515.31646425179781","855.88455344600322",2015
"E06000055","Bedford","685","275","410","424.45873765351774","346.15142551450691","500.38444170521257",2015
"E10000003","Cambridgeshire","3397","1629","1768","537.41921704807032","516.91967912266455","557.80085121419495",2015
"E06000056","Central Bedfordshire","2275","775","1499","860.02237948345737","592.00073331703743","1121.8716321398636",2015
"E10000012","Essex","7053","2694","4359","497.95079797091933","389.55686821727846","601.36579982065257",2015
"E10000015","Hertfordshire","10970","3880","7087","961.68513183940468","694.66824220288606","1217.3503777273149",2015
"E06000032","Luton","3429","907","2522","1648.6448802580906","866.00339908721151","2442.4967313931529",2015
"E10000020","Norfolk","4957","1863","3094","569.67451439183765","436.7887236766216","697.4374695688241",2015
"E06000031","Peterborough","758","358","400","402.39312428001892","382.53584937918066","421.99879730342769",2015
"E06000033","Southend-on-Sea","547","222","324","311.15257283928145","257.79780291241843","361.26845368181614",2015
"E10000029","Suffolk","5399","1977","3422","733.66145851734882","543.7503094178544","919.12159694020079",2015
"E06000034","Thurrock","1519","516","1003","944.36396869113264","650.43109968234762","1230.4181949777349",2015
"E12000007","London","42511","14249","28250","505.08908951248941","342.08533047161876","664.51825366955211",2015
"E09000001","of London","9","*","*","117.67782426778243","*","*",2015
"E09000002","Barking and Dagenham","1197","398","799","615.89281304025678","419.21213397935537","803.7259083410454",2015
"E09000003","Barnet","1442","533","909","390.69273452401598","295.32521789238638","481.94942977270443",2015
"E09000004","Bexley","981","391","590","414.47143273606071","343.29563812600969","480.49124121474705",2015
"E09000005","Brent","3467","1027","2438","1092.7807756316506","640.96563001241987","1552.5003661557469",2015
"E09000006","Bromley","776","331","445","244.10268670238031","216.83731960248676","269.28895612708021",2015
"E09000007","Camden","964","337","627","419.64312921438801","296.18822454055669","540.79696394686914",2015
"E09000008","Croydon","1959","623","1335","525.55050006438591","344.62348639484003","695.40304727178011",2015
"E09000009","Ealing","2297","823","1474","670.66868324700579","479.64006597236386","862.45735985067904",2015
"E09000010","Enfield","2059","857","1202","642.38559359049555","550.25490221257689","729.46631225042177",2015
"E09000011","Greenwich","1144","360","784","433.32020241810852","273.18672312525609","592.90629962943353",2015
"E09000012","Hackney","1552","490","1061","603.00179890356242","384.20524400953457","817.14070069237471",2015
"E09000013","Hammersmith and Fulham","560","247","313","313.40067716932032","282.90001145344172","342.54445964432284",2015
"E09000014","Haringey","1656","498","1158","628.7350124911726","377.64465003412454","880.501231789288",2015
"E09000015","Harrow","2563","770","1793","1053.1203260851701","637.91889316929701","1461.6808106499711",2015
"E09000016","Havering","1307","470","837","539.90416391275608","404.36368642026292","665.08804271819974",2015
"E09000017","Hillingdon","2266","658","1608","790.08110011645499","460.60046060046062","1117.0622928954003",2015
"E09000018","Hounslow","762","294","468","290.38859481644926","221.9873150105708","360.09140781890784",2015
"E09000019","Islington","1548","470","1078","717.77323373534193","438.88318236996918","992.8437882792856",2015
"E09000022","Lambeth","1216","377","839","386.96291393257428","239.85239852398524","534.18395283391271",2015
"E09000023","Lewisham","829","266","558","289.67782514501363","189.13403630520259","383.40238698905449",2015
"E09000024","Merton","702","256","446","345.43334169852824","256.32553342745285","431.54329946782775",2015
"E09000025","Newham","1598","513","1084","502.15726509692769","309.9679156017184","709.7678194937339",2015
"E09000026","Redbridge","1510","547","962","523.81084531276019","384.05369730670935","659.6088971778064",2015
"E09000027","Richmond upon Thames","328","139","189","171.40020379902279","149.40292571772522","192.21381498657553",2015
"E09000028","Southwark","1350","429","921","452.31585718880666","290.86126121239653","610.05093693490801",2015
"E09000029","Sutton","934","265","669","476.73979399124107","278.03716255206643","664.99010963887758",2015
"E09000030","Tower Hamlets","893","272","621","327.23808127817068","193.43460203675258","469.4800187489605",2015
"E09000031","Waltham Forest","2251","793","1457","846.88690993502553","597.62457420191117","1094.6245445325119",2015
"E09000032","Wandsworth","801","290","511","257.95772198534053","194.16565678207249","317.07816504197717",2015
"E09000020","Kensington and Chelsea","394","123","271","253.22313199737778","160.12497559070493","344.00030464971627",2015
"E09000021","Kingston-upon-Thames","357","148","209","214.0377593783912","181.20821803756397","245.53859890271266",2015
"E09000033","Westminster","839","249","590","369.86259097782147","213.56891671669956","535.14253838967454",2015
"E12000008","South East","51102","18228","32865","581.19155756198438","421.58434115304289","735.40994992991625",2015
"E06000036","Bracknell Forest","812","334","478","696.59509123508371","576.75703678121226","814.90700172187474",2015
"E06000043","Brighton And Hove","1501","525","976","539.71062018179725","377.15246298517968","702.60814478335044",2015
"E10000002","Buckinghamshire","2511","1170","1338","486.53738839285711","462.1528422399798","508.87488447627345",2015
"E10000011","East Sussex","2921","1142","1778","546.59226574750846","442.82617715373669","643.00774285476632",2015
"E10000014","Hampshire","6775","2319","4456","506.4549647537246","354.12527697055674","652.53332591374431",2015
"E06000046","Isle of Wight","824","332","492","595.40583700042635","491.26233704739496","694.79749195051693",2015
"E10000016","Kent","7824","3076","4745","523.86589461617984","420.57940418829264","622.58902563833419",2015
"E06000035","Medway","3363","1097","2266","1240.4787812840043","815.82567954486296","1658.3723653395784",2015
"E06000042","Milton Keynes","1641","489","1152","641.78777591790117","386.54598632465121","891.73059208743905",2015
"E10000025","Oxfordshire","2718","747","1970","408.05786674913901","225.99382828099473","587.10981039631406",2015
"E06000044","Portsmouth","1009","360","649","486.35881615733149","343.05971144866493","633.03486081036272",2015
"E06000038","Reading","1162","383","779","729.68407568117448","478.22992495660975","984.08287013643258",2015
"E06000040","Windsor & Maidenhead","1320","526","794","902.03984009293742","727.35318113306687","1072.7120430165635",2015
"E06000039","Slough","1806","578","1228","1262.7251370399374","806.67671523474564","1720.5626856470324",2015
"E06000045","Southampton","3201","1068","2133","1321.9570415584308","869.65018565565765","1787.435160433409",2015
"E10000030","Surrey","3142","920","2222","272.71606802799027","162.78892822954654","378.5574949102587",2015
"E06000037","West Berkshire","908","305","603","584.32866556836905","395.67738671302357","770.02643374324782",2015
"E10000032","West Sussex","6794","2542","4251","827.16873073308045","638.42237843729674","1004.5204602220768",2015
"E06000041","Wokingham","870","315","555","551.1003002546463","403.80473797559222","694.98359588269182",2015
"E12000009","South West","48098","16484","31614","894.41469653255785","624.3045503333235","1154.9687145739633",2015
"E06000022","Bath and North East Somerset","1200","408","792","666.30760090395734","461.27755794234031","864.18540705096734",2015
"E06000029","Poole","1377","411","966","924.10525538725847","562.28965441759931","1272.4757952973721",2015
"E06000028","Bournemouth","1608","562","1046","851.99726597892254","593.02092456393962","1113.1922864075602",2015
"E06000023","Bristol","4495","1545","2950","1027.4473590374225","707.07764124390746","1347.1119290186175",2015
"E06000052","Cornwall","9613","3060","6553","1775.8475132038595","1164.5519519565235","2352.4808208014879",2015
"E10000008","Devon","4991","1855","3136","658.39810461551451","503.06039707872418","805.52979766714884",2015
"E10000009","Dorset","3154","1108","2046","756.86130528579076","544.58414021567103","959.37879519654143",2015
"E10000013","Gloucestershire","1477","675","802","243.86861145142277","227.23447231105874","259.87997563220176",2015
"E06000024","North Somerset","1695","628","1067","822.27666335168703","626.57766869206898","1007.4781886165351",2015
"E06000026","Plymouth","5005","1733","3272","1931.1276164753547","1348.32334863456","2504.4969191319988",2015
"E10000027","Somerset","4234","1207","3027","786.83674531317365","459.70269765882978","1098.5581197852966",2015
"E06000025","South Gloucestershire","2209","861","1348","820.86307676872013","645.42728635682158","993.31648330594589",2015
"E06000030","Swindon","1195","425","770","558.31468390979137","397.92517134189728","718.06253671910702",2015
"E06000053","Isles of Scilly","27","10","17","1199.4669035984007","881.83421516754845","1521.933751119069",2015
"E06000027","Torbay","1872","657","1215","1417.3764906303238","1030.0711799567275","1779.0988827551871",2015
"E06000054","Wiltshire","3946","1339","2607","822.7106502041139","564.71917978651175","1074.9407277600246",2015
"E92000001","England","440288","149490","290747","810.59538721648687","558.35694774729177","1055.5950527861062",2016
"E12000001","North East","19414","6574","12840","741.35738588847187","512.30657971845744","961.44198326611729",2016
"E06000005","Darlington","348","144","204","330.274184516974","281.37090155926376","376.46016719260365",2016
"E06000047","Durham","2553","992","1561","493.0732193451571","390.22701614013556","592.27050940575646",2016
"E08000037","Gateshead","1450","411","1039","723.17398568614249","417.48351905085985","1018.0485606223913",2016
"E06000001","Hartlepool","530","204","326","572.41602764877416","451.25754860972859","688.0104678893274",2016
"E06000002","Middlesbrough","661","238","423","475.13279997699806","348.10589439812787","597.88830937539751",2016
"E08000021","Newcastle-upon-Tyne","2287","679","1608","789.0696430727827","464.75971443629919","1118.7020829564904",2016
"E08000022","North Tyneside","2926","961","1965","1443.1993055281537","981.05271754665364","1875.2147192426612",2016
"E06000057","Northumberland","4456","1624","2832","1410.1845962017424","1052.4542143532981","1751.5972810658025",2016
"E06000003","Redcar & Cleveland","625","216","409","462.81897483745797","329.15288846898187","589.17587404024835",2016
"E08000023","South Tyneside","738","244","494","496.16780960064546","339.60583453958355","642.45955365967848",2016
"E06000004","Stockton-on-Tees","958","311","647","493.51171188806865","327.08953418664089","653.28459783113556",2016
"E08000024","Sunderland","1882","550","1332","679.69475132634386","407.73359428283368","938.04798692930137",2016
"E12000002","North West","70380","24718","45654","986.68286557490399","703.94737966281832","1260.585992734249",2016
"E06000008","Blackburn with Darwen","1661","514","1146","1131.9108918312968","702.82909220187878","1556.85368835756",2016
"E06000009","Blackpool","745","286","459","530.2453363321257","413.99475992646524","642.69511887759381",2016
"E08000001","Bolton","1803","759","1044","642.92056383028046","546.18462335568927","737.93956529422167",2016
"E08000002","Bury","1122","471","651","598.48298964123023","513.45782777904958","679.94527015029814",2016
"E06000049","Cheshire East","2218","644","1574","592.76442558240842","351.44205844634234","824.36862999780021",2016
"E06000050","Cheshire West and Chester","4128","1038","3090","1242.5875199422053","641.39004918559533","1813.6570133940625",2016
"E10000006","Cumbria","3365","1079","2286","675.87381546335018","439.94666818887941","904.92722184176046",2016
"E06000006","Halton","1351","501","850","1069.2182281526505","812.62570557321737","1313.7151865475564",2016
"E08000011","Knowsley","1882","665","1217","1285.4576625434577","955.52841439758595","1584.3878560641567",2016
"E10000017","Lancashire","11245","3699","7541","949.15740650862847","633.71594997430191","1254.6690292578635",2016
"E08000012","Liverpool","3765","1382","2383","795.86025835336193","590.3207893725172","997.22551189933165",2016
"E08000003","Manchester","4092","1120","2971","786.59784896629276","425.7761861858437","1155.2849132466968",2016
"E08000004","Oldham","1602","758","844","700.28194872467384","674.0174284189934","725.67817376724986",2016
"E08000005","Rochdale","1566","690","876","735.34245546153772","659.25246503095616","808.87920367873835",2016
"E08000006","Salford","4497","1576","2921","1857.9573624194347","1296.3084819372245","2424.7908088723602",2016
"E08000014","Sefton","2910","1071","1839","1063.864790462507","816.15545818251098","1292.2856379913705",2016
"E08000013","St Helens","2110","804","1306","1190.8255638079329","924.33979834676529","1447.7812143181793",2016
"E08000007","Stockport","2340","894","1445","816.02761939634888","637.27412054032857","986.55014678773819",2016
"E08000008","Tameside","2205","714","1491","998.77248370483437","658.2040432534086","1327.7646178780701",2016
"E08000009","Trafford","1490","528","962","640.97600426743759","463.38552271291161","811.71844676578291",2016
"E06000007","Warrington","1297","633","664","628.30623752591703","618.12784407163645","638.32650785410783",2016
"E08000010","Wigan","3700","1375","2325","1152.7377521613832","863.24882912067903","1437.9101136103604",2016
"E08000015","Wirral","9286","3517","5769","2893.6101260773917","2273.6235107022567","3470.5553249472109",2016
"E12000003","Yorkshire and the Humber","47064","13926","33132","878.05527845288839","527.21961502291958","1218.7052048040498",2016
"E08000016","Barnsley","881","375","506","370.41241491235814","319.7285291635049","419.7219549421016",2016
"E08000033","Calderdale","1411","423","988","680.40660442867068","416.24435413243066","934.2524561950961",2016
"E08000032","Bradford","10070","3081","6989","1906.6372561085288","1183.8389272060094","2608.8092571855173",2016
"E08000017","Doncaster","1244","506","736","408.96165162647731","336.0295387230878","479.15730812549231",2016
"E06000011","East Riding of Yorkshire","1716","495","1221","509.02511012562479","299.69848516038411","710.09427213883191",2016
"E06000010","Kingston-upon-Hull","1277","286","991","495.51821815218659","221.15682029075165","771.86696783238574",2016
"E08000034","Kirklees","3574","915","2659","829.19586098092907","429.24897848125613","1220.5253905084528",2016
"E08000035","Leeds","6453","1736","4715","841.98961637476032","461.697215987064","1207.7511238617299",2016
"E06000012","North East Lincolnshire","2058","506","1552","1287.8275887962754","645.52343530732526","1906.212385467587",2016
"E06000013","North Lincolnshire","1033","226","806","610.35055274244155","270.37697249572301","940.92925519495668",2016
"E10000023","North Yorkshire","4749","1763","2985","789.47893392914136","595.53970152077125","977.08034644617715",2016
"E08000018","Rotherham","2109","641","1468","810.93551736071061","501.65522746660196","1109.6581073828547",2016
"E08000019","Sheffield","3809","903","2906","675.65530049720712","323.02491548766744","1022.5049612250355",2016
"E08000036","Wakefield","5006","1536","3470","1510.6569818847904","943.63964760956901","2058.0647074523295",2016
"E06000014","York","1674","534","1140","818.82615352256664","534.5291838920532","1090.5125408942204",2016
"E12000004","East Midlands","34839","11451","23381","751.25937672577368","500.46720761937394","995.21101785131293",2016
"E06000015","Derby","2658","325","2333","1052.8275430459116","259.92722037829407","1830.8378064475626",2016
"E10000007","Derbyshire","6902","1959","4941","885.0942031587424","511.34539436763094","1245.5350053063169",2016
"E06000016","Leicester","1188","443","745","351.8404989737985","264.74314536370804","437.40936232173368",2016
"E10000018","Leicestershire","2603","993","1610","389.72608379934275","300.44749430420535","477.18125181536351",2016
"E10000019","Lincolnshire","5911","2257","3652","808.04794426916158","631.79876495518351","975.73487370485361",2016
"E10000021","Northamptonshire","4099","1623","2475","573.77462233619633","460.79416724869253","683.37318526454135",2016
"E06000018","Nottingham","3782","1109","2673","1203.4314661371823","698.83359694504486","1718.1423750602603",2016
"E10000024","Nottinghamshire","7592","2688","4902","947.35397247282845","681.57268840870017","1204.3989307335482",2016
"E06000017","Rutland","104","54","50","273.52585345326389","276.15833077631174","270.73857483214209",2016
"E12000005","West Midlands","54212","16465","37744","948.87633802205517","582.97940894775138","1306.4732801915127",2016
"E08000025","Birmingham","9265","1994","7271","841.23265780489567","366.82732992383825","1303.5605435834918",2016
"E08000026","Coventry","5281","1572","3708","1565.0746233270504","928.56763126650242","2205.3706842715674",2016
"E08000027","Dudley","4739","1026","3713","1500.6380640850668","661.48311477312291","2310.6171395144779",2016
"E06000019","Herefordshire","845","420","425","451.48536011968372","453.96080805023831","449.06541562324992",2016
"E08000028","Sandwell","2596","713","1883","819.65401507329841","456.0252252943697","1174.1743988825701",2016
"E06000051","Shropshire","2047","592","1455","660.06494239345295","385.00809687636166","930.55679914043412",2016
"E08000029","Solihull","896","230","666","426.89027585878318","225.63176895306859","616.92943290660844",2016
"E10000028","Staffordshire","5299","1785","3513","616.04459609493529","418.01125000585444","811.04854516868568",2016
"E06000021","Stoke-on-Trent","1956","554","1402","779.19905030136204","442.93423945632622","1113.1224593495936",2016
"E06000020","Telford and Wrekin","1511","363","1148","891.76109537299351","432.30754573170731","1343.129913889929",2016
"E08000030","Walsall","1707","579","1128","622.59959952292888","430.08037080504505","808.32981002816257",2016
"E10000031","Warwickshire","6071","2197","3874","1100.6283607145836","806.43385186870944","1387.7346324688351",2016
"E08000031","Wolverhampton","2583","871","1711","1021.0010791068315","696.22630952095471","1337.9312501954896",2016
"E10000034","Worcestershire","9416","3569","5847","1636.3671120796771","1258.866561555365","2003.0009043821426",2016
"E12000006","East of England","49262","18279","30976","818.52550759896803","617.0057852520124","1013.6623198128179",2016
"E06000055","Bedford","804","371","433","490.47119396793636","459.79575649415028","520.20760247969633",2016
"E10000003","Cambridgeshire","4393","1928","2465","686.60150230221723","603.3484587701455","769.66790313112767",2016
"E06000056","Central Bedfordshire","2434","876","1556","904.57714549049342","657.43555105257224","1145.5411504001297",2016
"E10000012","Essex","8965","3418","5545","626.06803435587619","488.61168808333559","757.0792714562682",2016
"E10000015","Hertfordshire","11722","4330","7392","1015.0974309946777","765.95413473716985","1254.0333662449234",2016
"E06000032","Luton","3734","963","2771","1769.9870118789165","904.84557490110581","2650.7868178122158",2016
"E10000020","Norfolk","6232","2236","3994","710.02950860762667","519.00785010979007","893.73623816258225",2016
"E06000031","Peterborough","861","395","466","452.06105186888658","415.99966298761478","487.91213393502181",2016
"E06000033","Southend-on-Sea","578","240","338","324.84502419477212","275.17886626307103","372.59549137408368",2016
"E10000029","Suffolk","7365","2775","4590","997.27560283380637","761.59267553681991","1226.8003763256927",2016
"E06000034","Thurrock","2174","747","1426","1331.5367183193482","928.82721575649055","1721.2659633536923",2016
"E12000007","London","44893","15370","29513","525.75986782045811","363.01206961990488","685.60423911705197",2016
"E09000001","London","26","9","17","322.10109018830525","199.95556542990448","476.05712685522263",2016
"E09000002","Barking and Dagenham","1226","434","792","618.27387616367616","447.7966136670828","781.25770653514178",2016
"E09000003","Barnet","1626","640","985","433.69830494912185","347.71836985281732","516.09049659956622",2016
"E09000004","Bexley","1327","568","759","553.22785733641842","491.46426933626367","610.65877128053296",2016
"E09000005","Brent","3015","962","2053","939.94924585829983","592.24783293932228","1296.65887702899",2016
"E09000006","Bromley","953","362","591","296.6278425538008","234.47418193123818","354.12547186769729",2016
"E09000007","Camden","1097","444","653","467.11461979339651","380.16627993595398","553.13201473889285",2016
"E09000008","Croydon","1345","427","918","357.67471545580258","233.94824648392768","474.36712294789709",2016
"E09000009","Ealing","2316","753","1563","676.95941166498108","438.5939365698809","917.07591839608529",2016
"E09000010","Enfield","2547","1007","1537","784.72089569712921","638.31540514328822","921.3799718250757",2016
"E09000011","Greenwich","1287","469","818","479.01205160080099","348.41134825534317","610.1426898491053",2016
"E09000012","Hackney","1897","523","1374","720.88162644879344","400.11322515740596","1037.4744218005542",2016
"E09000013","Hammersmith and Fulham","566","222","344","317.32682981526642","254.38003460485155","377.63189672206732",2016
"E09000014","Haringey","1650","550","1100","616.72790338677055","410.1783903108406","824.26022644676402",2016
"E09000015","Harrow","2308","801","1507","938.1694314481872","655.67060942168382","1216.8338097314406",2016
"E09000016","Havering","1451","626","825","589.89974550155705","529.63323321629503","645.64599816871316",2016
"E09000017","Hillingdon","2428","660","1768","829.54661929003373","451.99906860797984","1205.4107123377332",2016
"E09000018","Hounslow","1080","385","695","406.6755030726593","286.51589232956024","529.74579823926217",2016
"E09000019","Islington","1667","527","1140","754.19626295073067","478.86018554696369","1027.2398785333896",2016
"E09000022","Lambeth","1513","499","1012","475.46320738114991","312.76638419495561","637.79368760713919",2016
"E09000023","Lewisham","964","311","653","330.2127542963625","216.69302750120193","439.99137536048295",2016
"E09000024","Merton","700","250","450","343.95499103260204","250.09253423766793","434.56427688504323",2016
"E09000025","Newham","1671","528","1143","515.22869247229607","312.08624929071306","736.7633977491007",2016
"E09000026","Redbridge","1364","529","835","465.44164064765994","364.38278790717538","564.65464775017244",2016
"E09000027","Richmond upon Thames","460","236","224","237.62171655861766","250.9250202015906","225.05098811449469",2016
"E09000028","Southwark","1651","535","1116","545.71657114147649","356.72136394247116","731.51067441875705",2016
"E09000029","Sutton","944","240","704","476.44523403353281","248.68404691839018","692.73611083777769",2016
"E09000030","Tower Hamlets","1102","330","772","388.00767565093395","224.58299022043161","563.19122238758064",2016
"E09000031","Waltham Forest","1999","559","1436","745.83986269681373","417.55056918342342","1070.4914122137404",2016
"E09000032","Wandsworth","910","298","612","291.53117941982094","198.64018130915875","377.48650732459521",2016
"E09000020","Kensington and Chelsea","451","153","298","288.7508803380498","198.04030702719496","377.53537810548187",2016
"E09000021","Kingston-upon-Thames","428","182","246","251.82692194542184","218.1914090129836","284.24519036339478",2016
"E09000033","Westminster","924","351","573","396.07016099994854","291.34191588435965","507.9111820236671",2016
"E12000008","South East","61957","22420","39532","698.20003069704603","513.65351527328801","876.73386252585931",2016
"E06000036","Bracknell Forest","788","335","453","667.65515780554972","571.46756281878504","762.5749107804188",2016
"E06000043","Brighton & Hove","1867","679","1188","664.23316113791293","481.80289365567057","847.68136314013145",2016
"E10000002","Buckinghamshire","3381","1530","1850","647.79794681963972","598.10249053004395","695.19339528696457",2016
"E10000011","East Sussex","3185","1253","1932","590.07051203669744","480.74340656389319","692.15557020435074",2016
